product_id,product_name,category,unit_price_cents,is_active
53,Configurable system-worthy architecture,Sports & Outdoors,6141,True
54,Integrated bifurcated Graphical User Interface,Home & Kitchen,23925,True
55,Down-sized 3rdgeneration monitoring,Toys,11943,True
56,Inverse 5thgeneration knowledgebase,Home & Kitchen,39996,True
57,Switchable interactive open system,Electronics,43577,True
58,Profound intangible flexibility,Toys,5881,True
59,Ameliorated tangible leverage,Toys,11729,True
60,Reverse-engineered 3rdgeneration functionalities,Electronics,87675,True
61,Multi-tiered object-oriented info-mediaries,Beauty,6428,False
62,Inverse object-oriented attitude,Sports & Outdoors,12613,True
63,Pre-emptive bandwidth-monitored solution,Sports & Outdoors,32668,True
64,Synergistic demand-driven Graphical User Interface,Home & Kitchen,11154,True
65,Proactive motivating workforce,Apparel,4314,True
66,Virtual static Graphical User Interface,Beauty,14182,True
67,Down-sized reciprocal framework,Beauty,1118,True
68,Multi-lateral intermediate customer loyalty,Apparel,21251,True
69,Proactive scalable toolset,Books,1763,True
70,Compatible national data-warehouse,Apparel,23703,True
71,Horizontal empowering application,Apparel,6424,True
72,Innovative object-oriented initiative,Electronics,56852,True
73,Face-to-face regional synergy,Toys,4391,True
74,Cross-group transitional paradigm,Beauty,5168,True
75,Cross-platform optimizing Graphical User Interface,Apparel,15710,True
76,Future-proofed asymmetric open system,Home & Kitchen,21281,True
77,Progressive methodical interface,Apparel,16368,True
78,Expanded grid-enabled utilization,Home & Kitchen,25106,True
79,Compatible solution-oriented framework,Beauty,7718,True
80,Profit-focused exuding Internet solution,Sports & Outdoors,25826,True
81,Switchable needs-based functionalities,Books,1827,True
82,Exclusive intangible initiative,Apparel,20813,True
83,Function-based regional migration,Sports & Outdoors,4219,True
84,Persevering static task-force,Apparel,13163,True
85,Reactive contextually-based adapter,Electronics,96244,True
86,Self-enabling tertiary model,Apparel,5085,True
87,Enterprise-wide object-oriented methodology,Apparel,6253,True
88,Extended stable synergy,Beauty,2914,True
89,Persistent encompassing productivity,Electronics,32102,True
90,Public-key reciprocal throughput,Sports & Outdoors,2547,True
91,Optional non-volatile superstructure,Books,4612,True
92,Self-enabling analyzing model,Books,1168,True
93,Exclusive high-level Local Area Network,Electronics,44770,True
94,Digitized disintermediate collaboration,Apparel,24419,True
95,User-friendly systemic task-force,Apparel,5785,True
96,Innovative intermediate installation,Sports & Outdoors,31762,True
97,Intuitive asymmetric productivity,Home & Kitchen,31743,True
98,Expanded incremental flexibility,Electronics,13384,False
99,Horizontal secondary complexity,Home & Kitchen,10798,True
100,Function-based systemic policy,Toys,10475,True
101,Front-line impactful encoding,Electronics,104734,True
102,Customizable coherent core,Sports & Outdoors,8785,False
103,Assimilated dynamic website,Books,5734,True
104,Integrated maximized matrix,Books,1014,True
105,Realigned intermediate interface,Books,5388,True
106,Stand-alone 5thgeneration customer loyalty,Toys,8943,True
107,Diverse encompassing challenge,Toys,2852,True
108,Assimilated empowering utilization,Electronics,83584,True
109,Grass-roots stable neural-net,Beauty,7325,True
110,Enhanced secondary analyzer,Toys,1902,True
111,Up-sized mobile toolset,Sports & Outdoors,5235,True
112,Ameliorated analyzing artificial intelligence,Beauty,8812,True
113,Intuitive real-time framework,Beauty,9579,False
114,Cloned incremental hierarchy,Apparel,16405,False
115,Synchronized stable array,Books,3558,True
116,Object-based uniform challenge,Electronics,49805,True
117,Front-line bifurcated orchestration,Sports & Outdoors,16602,True
118,User-centric motivating capability,Toys,2198,True
119,Programmable static paradigm,Toys,5947,True
120,Vision-oriented multi-tasking extranet,Sports & Outdoors,22987,True
121,Proactive background encoding,Home & Kitchen,31449,True
122,Right-sized bottom-line throughput,Books,5675,True
123,Intuitive full-range paradigm,Home & Kitchen,5135,True
124,User-centric human-resource workforce,Books,802,True
125,User-friendly value-added encoding,Electronics,106692,True
126,Optimized didactic circuit,Electronics,44365,True
127,Customer-focused context-sensitive data-warehouse,Beauty,7024,True
128,Grass-roots leadingedge installation,Beauty,8256,True
129,Function-based optimizing approach,Apparel,22197,True
130,Pre-emptive national hub,Sports & Outdoors,3932,True
131,Total bifurcated functionalities,Sports & Outdoors,18705,True
132,Quality-focused interactive leverage,Sports & Outdoors,29436,True
133,Synergized dynamic focus group,Toys,7704,True
134,Digitized high-level leverage,Books,3277,True
135,Universal holistic function,Books,4575,True
136,Ameliorated secondary portal,Apparel,18015,True
137,Automated user-facing protocol,Electronics,98300,True
138,Business-focused system-worthy toolset,Books,5435,True
139,Synchronized disintermediate extranet,Home & Kitchen,36748,True
140,Reactive human-resource function,Electronics,13494,True
141,Sharable tangible hierarchy,Sports & Outdoors,20886,True
142,Synergized bottom-line monitoring,Toys,7481,True
143,Front-line leadingedge info-mediaries,Books,3379,True
144,Advanced hybrid extranet,Toys,6276,True
145,Innovative background system engine,Books,2749,True
146,Front-line exuding database,Apparel,2879,True
147,Diverse leadingedge product,Toys,7155,True
148,Intuitive zero administration project,Apparel,23262,True
149,Open-source 5thgeneration focus group,Electronics,21714,True
150,Configurable zero-defect matrix,Toys,7679,False
